"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Traffic Collisions","Road Kilometres","Road Volume","TTC Stops","Pedestrian/Other Collisions"
"Lawrence Park North",105.0,"N/A",14540.0,218.0,29.60219911,4704.142857,55.0,46.0
"Humewood-Cedarvale",106.0,"N/A",14110.0,88.0,23.21263491,3941.0,29.0,51.0
"Oakwood Village",107.0,"N/A",21075.0,178.0,32.5587855,4503.666667,40.0,84.0
"Briar Hill-Belgravia",108.0,"N/A",14295.0,137.0,22.4839455,11837.28571,45.0,93.0
"Caledonia-Fairbank",109.0,"N/A",9855.0,82.0,18.70522556,5796.0,37.0,52.0
"Keelesdale-Eglinton West",110.0,"N/A",10640.0,141.0,22.30262457,2186.666667,24.0,119.0
"Rockcliffe-Smythe",111.0,"N/A",22270.0,193.0,43.05565102,5589.25,104.0,115.0
"Beechborough-Greenbrook",112.0,"N/A",6490.0,103.0,16.39852965,5102.0,35.0,63.0
"Weston",113.0,"N/A",18170.0,196.0,29.13558051,4369.25,75.0,178.0
"Lambton Baby Point",114.0,"N/A",7920.0,52.0,19.21811928,2337.857143,28.0,20.0
"Mount Dennis",115.0,"N/A",13150.0,64.0,17.69051031,13491.5,59.0,59.0
"Steeles",116.0,"N/A",25010.0,234.0,46.33675666,3711.3125,80.0,99.0
"L'Amoreaux",117.0,"N/A",44915.0,215.0,66.57614957,2482.52381,138.0,249.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27390.0,171.0,50.85001538,2522.181818,55.0,260.0
"Wexford/Maryvale",119.0,"N/A",27020.0,262.0,86.67723451,3539.25,182.0,607.0
"Clairlea-Birchmount",120.0,"N/A",24775.0,268.0,63.8376636,3601.0,129.0,465.0
"Oakridge",121.0,"N/A",13505.0,76.0,19.11891564,3205.0,56.0,80.0
"Birchcliffe-Cliffside",122.0,"N/A",21860.0,193.0,64.45457811,2636.263158,104.0,114.0
"Cliffcrest",123.0,"N/A",15700.0,108.0,51.38712788,3779.625,69.0,97.0
"Kennedy Park",124.0,"N/A",17050.0,117.0,30.81869749,2876.75,73.0,155.0
"Ionview",125.0,"N/A",13095.0,32.0,16.898618,2664.0,22.0,111.0
"Dorset Park",126.0,"N/A",24360.0,251.0,39.00312698,3959.0,93.0,348.0
"Bendale",127.0,"N/A",27870.0,258.0,62.86449729,4499.117647,118.0,851.0
"Agincourt South-Malvern West",128.0,"N/A",21990.0,160.0,55.9797809,3773.071429,125.0,281.0
"Agincourt North",129.0,"N/A",30280.0,288.0,57.45648472,3584.058824,94.0,129.0
"Milliken",130.0,"N/A",27160.0,426.0,67.435866,3917.571429,160.0,487.0
"Rouge",131.0,"N/A",45905.0,770.0,115.7449367,4300.913043,199.0,263.0
"Malvern",132.0,"N/A",45085.0,334.0,74.91197001,3766.772727,180.0,232.0
"Centennial Scarborough",133.0,"N/A",13100.0,115.0,45.86598925,2994.571429,44.0,44.0
"Highland Creek",134.0,"N/A",13100.0,100.0,37.845626,3516.833333,70.0,50.0
"Morningside",135.0,"N/A",17585.0,88.0,32.28313942,4873.142857,35.0,118.0
"West Hill",136.0,"N/A",26550.0,166.0,61.14700126,3824.181818,80.0,209.0
"Woburn",137.0,"N/A",53350.0,438.0,102.835355,4656.6,139.0,507.0
"Eglinton East",138.0,"N/A",22830.0,122.0,29.46464034,3086.0,61.0,180.0
"Scarborough Village",139.0,"N/A",16615.0,65.0,23.14334537,2111.6,29.0,110.0
"Guildwood",140.0,"N/A",9815.0,56.0,31.41879421,2114.875,29.0,23.0
